,ID,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers,Prompt
277,chal-278,Common-Division,Jesse needs a carpet of size <1> square feet to cover her room. If her room is <2> feet wide What is the length of her room?,( <1> / <2> ),"['<1>', '<2>']","['10', '2']",Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide what is the length of her room?
278,chal-279,Multiplication,There are some bananas in Philip's banana collection. If the bananas are organized into <1> groups of size <2> How many bananas does he have in his collection?,( <1> * <2> ),"['<1>', '<2>']","['140', '187']",There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187 how many bananas does he have in his collection?
279,chal-280,Common-Division,Rebecca wants to split a collection of eggs into groups of <1>. Rebecca has <2> eggs <3> bananas and <1> marbles. How many groups will be created?,( <2> / <1> ),"['<1>', '<2>', '<3>', '<4>']","['6', '18', '72', '66']",Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles. How many groups will be created?
280,chal-281,Addition,Jessie currently weighs <1> kilograms. After she started to go jogging everyday she lost <2> kilograms in the first week and <3> kilograms in the second week. How much did she weigh before starting to jog?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['9', '62', '140']",Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week. How much did she weigh before starting to jog?
281,chal-282,Common-Division,The school is planning a field trip. The school has <1> classrooms. There are <2> seats on each school bus. If there are a total of <3> students in the school How many buses are needed to take the trip?,( <3> / <2> ),"['<1>', '<2>', '<3>']","['72', '3', '111']",The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school how many buses are needed to take the trip?
282,chal-283,Addition,<1> campers went rowing and <2> campers went hiking in the morning. <3> campers went rowing in the afternoon. How many campers went rowing in all?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['13', '59', '21']",13 campers went rowing and 59 campers went hiking in the morning. 21 campers went rowing in the afternoon. How many campers went rowing in all?
283,chal-284,Subtraction,Jerry had <1> action figures on a shelf in his room. Later he added <2> more action figures to the shelf. If he also has <3> books on the shelf How many more action figures than books were on his shelf?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['9', '7', '10']",Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf how many more action figures than books were on his shelf?
284,chal-285,Addition,Josh had <1> marbles in his collection. He found <2> marbles ones while he lost <3> marbles. How many marbles does he have now?,( ( <1> - <3> ) + <2> ),"['<1>', '<2>', '<3>']","['22', '13', '5']",Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles. How many marbles does he have now?
285,chal-286,Addition,For the walls of the house he would use <1> large planks of wood and <2> small planks. If large planks together need <3> pieces of nails to be secured and small planks together need <4> nails. How many nails does John need for the house wall?,( <3> + <4> ),"['<1>', '<2>', '<3>', '<4>']","['12', '10', '15', '5']",For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?
286,chal-287,Subtraction,Paul got a box of <1> crayons for his birthday. During the school year he gave <2> crayons to his friends while he lost <3> crayons. How many more crayons did he give to his friends than those he lost?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['589', '571', '161']",Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost?
287,chal-288,Subtraction,"Jack received <1> emails in the morning, <2> emails in the afternoon and <3> emails in the evening. How many more emails did Jack receive in the morning than in the evening?",( <1> - <3> ),"['<1>', '<2>', '<3>']","['9', '10', '7']","Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening. How many more emails did Jack receive in the morning than in the evening?"
288,chal-289,Subtraction,Jack received <1> emails in the morning and <2> emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,( <2> - <1> ),"['<1>', '<2>']","['6', '8']",Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?
289,chal-290,Addition,"After eating a hearty meal they went to see the Buckingham palace. There were <1> paintings in the Buckingham palace. There, Rachel learned that <2> visitors came to the Buckingham palace that day. If there were <3> visitors the previous day How many visited the Buckingham palace within <4> days?",( <2> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['71', '557', '188', '57']","After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day how many visited the Buckingham palace within 57 days?"
290,chal-291,Subtraction,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked <1> chocolate chip cookies and <2> raisin cookies yesterday. And she baked <3> raisin cookies and <4> chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['197', '46', '75', '66']",Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?
291,chal-292,Subtraction,Jake has <1> fewer peaches than Steven who has <2> more peaches than Jill. Steven has <3> peaches. How many peaches does Jill have?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['18', '13', '19']",Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches. How many peaches does Jill have?
292,chal-293,Subtraction,Lucy went to the grocery store. She bought <1> packs of cookie and some packs of cake. In total she had <2> packs of grocery How many packs of cake did she buy in all?,( <2> - <1> ),"['<1>', '<2>']","['23', '27']",Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery how many packs of cake did she buy in all?
293,chal-294,Subtraction,Every day Ryan spends <1> hours on learning english <2> hours on learning chinese and <3> hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['6', '3', '58']",Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?
294,chal-295,Subtraction,A book has <1> chapters. The first chapter is <2> pages long. The second chapter is <3> pages long. How many more pages does the first chapter have than the second chapter?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['2', '48', '11']",A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter?
295,chal-296,Subtraction,"<1> green peaches, <1>0 yellow peaches and <3> red peaches are in the basket. How many more green peaches than red peaches are in the basket?",( <1> - <3> ),"['<1>', '<2>', '<3>']","['6', '60', '2']","6 green peaches, 60 yellow peaches and 2 red peaches are in the basket. How many more green peaches than red peaches are in the basket?"
296,chal-297,Common-Division,Debby drinks <1> bottles a day. If she bought a total of <2> water bottles How many days would they last her?,( <2> / <1> ),"['<1>', '<2>']","['6', '12']",Debby drinks 6 bottles a day. If she bought a total of 12 water bottles how many days would they last her?
297,chal-298,Subtraction,There were <1> parents in the program and <2> people in total. How many pupils were present in the program?,( <2> - <1> ),"['<1>', '<2>']","['22', '676']",There were 22 parents in the program and 676 people in total. How many pupils were present in the program?
298,chal-299,Addition,"Julia played tag with <1> kids on monday, <2> kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?",( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['17', '15', '2']","Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?"
299,chal-300,Addition,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped <1> inches. The frog jumped <2> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?",( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['25', '18', '2']","The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?"
300,chal-301,Subtraction,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of <1> g of colors to paint them. If the feathers require <2> g of wax and right now he just needs <3> g How many grams of wax does he already have?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['49', '288', '260']",Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g how many grams of wax does he already have?
301,chal-302,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <2> cups of sugar. She already put in <3> cups of flour. How many more cups of flour than cups of sugar does she need to add now?,( ( <1> - <3> ) - <2> ),"['<1>', '<2>', '<3>']","['14', '6', '5']",Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour. How many more cups of flour than cups of sugar does she need to add now?
302,chal-303,Addition,Jake has <1> more apples and <2> fewer peaches than Steven. Steven has <3> peaches and <4> apples. How many apples does Jake have?,( <1> + <4> ),"['<1>', '<2>', '<3>', '<4>']","['13', '17', '8', '12']",Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples. How many apples does Jake have?
303,chal-304,Subtraction,Jake has <1> fewer peaches than Steven who has <2> more peaches than Jill. Steven has <3> peaches. How many more peaches does Jill have than Jake?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['12', '11', '4']",Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches. How many more peaches does Jill have than Jake?
304,chal-305,Addition,Last week Fred had <1> dollars and Jason had <2> dollars. Fred washed cars over the weekend and now has <3> dollars and Jason did not work. How much money do they have together now?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['86', '5', '9']",Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work. How much money do they have together now?
305,chal-306,Subtraction,Jake has <1> fewer peaches and <2> more apples than Steven. Steven has <3> peaches and <4> apples. How many peaches does Jake have?,( <3> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['12', '79', '19', '14']",Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples. How many peaches does Jake have?
306,chal-307,Subtraction,There are <1> different books and <2> different movies in the ' crazy silly school ' series. If you read <3> of the movies and watched <4> of the books How many more books than movies have you read?,( <4> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['10', '6', '14', '19']",There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books how many more books than movies have you read?
307,chal-308,Common-Division,Debby bought <1> water bottles when they were on sale. If she drank <2> bottles a day for some days. If she has <3> bottles left How many days did she drink for?,( ( <1> - <3> ) / <2> ),"['<1>', '<2>', '<3>']","['301', '144', '157']",Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left how many days did she drink for?
308,chal-309,Multiplication,He also had <1> aquariums for saltwater animals and <2> aquariums for freshwater animals. Each aquarium has <3> animals in it. How many saltwater animals does Tyler have?,( <1> * <3> ),"['<1>', '<2>', '<3>']","['56', '10', '39']",He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have?
309,chal-310,Addition,Tiffany was collecting cans for recycling. On monday she had <1> bags of cans. She found <2> bags of cans on the next day and <3> bags of cans the day after that. How many bags did she have altogether?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['10', '3', '7']",Tiffany was collecting cans for recycling. On monday she had 10 bags of cans. She found 3 bags of cans on the next day and 7 bags of cans the day after that. How many bags did she have altogether?
310,chal-311,Addition,The grasshopper and the frog had a jumping contest. The grasshopper jumped <1> inches and the frog jumped <2> inches. How much did they jump altogether?,( <1> + <2> ),"['<1>', '<2>']","['31', '35']",The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches. How much did they jump altogether?
311,chal-312,Subtraction,There were <1> dollars in Olivia's wallet. She collected <2> more dollars from an atm. After she visited a supermarket there were <3> dollars left. How much did she spend?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['100', '148', '159']",There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left. How much did she spend?
312,chal-313,Subtraction,A waiter had <1> customers. After some left he still had <2> customers. How many more customers left than those that stayed behind?,( ( <1> - <2> ) - <2> ),"['<1>', '<2>']","['11', '3']",A waiter had 11 customers. After some left he still had 3 customers. How many more customers left than those that stayed behind?
313,chal-314,Subtraction,Katie had <1> ds games and her friends had <2> games. How many more games does Katie have than her friends?,( <1> - <2> ),"['<1>', '<2>']","['81', '59']",Katie had 81 ds games and her friends had 59 games. How many more games does Katie have than her friends?
314,chal-315,Common-Division,Frank put some pieces of candy equally into <1> bags. If he had <2> pieces of candy How many pieces of candy are in each bag?,( <2> / <1> ),"['<1>', '<2>']","['2', '16']",Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy how many pieces of candy are in each bag?
315,chal-316,Common-Division,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by <1> of the pickers that they fill <2> drums of grapes in <3> days. How many drums of grapes would be filled in each day?",( <2> / <3> ),"['<1>', '<2>', '<3>']","['266', '90', '5']","Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days. How many drums of grapes would be filled in each day?"
316,chal-317,Subtraction,Julia played tag with <1> kids on tuesday. She had played tag with <2> kids on monday. How many more kids did she play with on monday than on tuesday?,( <2> - <1> ),"['<1>', '<2>']","['5', '6']",Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday. How many more kids did she play with on monday than on tuesday?
317,chal-318,Subtraction,Julia played tag with a total of <1> kids. She played with <2> kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?,( <1> - <2> ),"['<1>', '<2>']","['18', '4']",Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?
318,chal-319,Subtraction,Jerry had <1> books and <2> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?,( ( <2> + <3> ) - <1> ),"['<1>', '<2>', '<3>']","['3', '4', '2']",Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?
319,chal-320,Common-Division,There are <1> houses on a block. If a mailman has to give <2> pieces of junk mail to each block How many pieces of junk mail should he give in each house?,( <2> / <1> ),"['<1>', '<2>']","['6', '24']",There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block how many pieces of junk mail should he give in each house?
320,chal-321,Subtraction,Dave had <1> apps and <2> files on his phone. After deleting some apps and files he had <3> apps and <4> files left. How many more files than apps does he have left on the phone?,( <4> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['19', '18', '6', '15']",Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left. How many more files than apps does he have left on the phone?
321,chal-322,Subtraction,Baker made <1> cakes. He bought <2> new cakes and sold <3> cakes. How many more cakes did baker buy than those he sold?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['99', '167', '89']",Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes. How many more cakes did baker buy than those he sold?
322,chal-323,Addition,<1> birds and <2> storks were sitting on the fence. <3> more storks came to join them. How many birds and storks are sitting on the fence?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['3', '4', '6']",3 birds and 4 storks were sitting on the fence. 6 more storks came to join them. How many birds and storks are sitting on the fence?
323,chal-324,Subtraction,David did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. How many push-ups did Zachary do?,( <1> - <2> ),"['<1>', '<2>']","['44', '9']",David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do?
324,chal-325,Addition,Edward spent $ <1> to buy books and $ <2> to buy pens. Now he has $ <3>. How much did Edward have before he spent his money?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['6', '16', '19']",Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19. How much did Edward have before he spent his money?
325,chal-326,Common-Division,Bryan took a look at his books as well. Each bookshelf contains <1> books. If he has a total of <2> books How many bookshelves does he have?,( <2> / <1> ),"['<1>', '<2>']","['2', '38']",Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books how many bookshelves does he have?
326,chal-327,Subtraction,There were <1> roses in the vase. Jessica cut some more roses from her flower garden which had a total of <2> roses. There are now <3> roses in the vase. How many roses did she cut?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['7', '59', '20']",There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase. How many roses did she cut?
327,chal-328,Common-Division,Luke played a trivia game and gained <1> points in each round of a game. If he scored <2> points in the trivia game How many rounds did he play?,( <2> / <1> ),"['<1>', '<2>']","['3', '78']",Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game how many rounds did he play?
328,chal-329,Subtraction,Baker made <1> cakes. He sold <2> of them and bought <3> new cakes. How many more cakes did baker buy than those he sold?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['13', '91', '154']",Baker made 13 cakes. He sold 91 of them and bought 154 new cakes. How many more cakes did baker buy than those he sold?
329,chal-330,Subtraction,He then went to see the oranges being harvested. He found out that they harvest <1> sacks of unripe oranges and <2> sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,( <1> - <2> ),"['<1>', '<2>']","['71', '60']",He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?
330,chal-331,Subtraction,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was <1>. If <2> snakes and <3> alligators were hiding How many animals were not hiding in all?",( ( <1> - <2> ) - <3> ),"['<1>', '<2>', '<3>']","['79', '24', '51']","At the zoo, a cage had snakes and alligators. The total number of animals in the cage was 79. If 24 snakes and 51 alligators were hiding how many animals were not hiding in all?"
331,chal-332,Subtraction,Danny has <1> bottle caps in his collection. He found some more bottle caps at the park. If he has <2> bottle caps now How many bottle caps did he find at the park?,( <2> - <1> ),"['<1>', '<2>']","['21', '53']",Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now how many bottle caps did he find at the park?
332,chal-333,Common-Division,Frank was reading through his favorite book. The book had <1> chapters each with <2> pages. It took frank <3> days to finish the book. How many chapters did he read per day?,( <3> / <1> ),"['<1>', '<2>', '<3>']","['2', '405', '664']",Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?
333,chal-334,Subtraction,There were <1> roses in the vase. Jessica threw away <2> roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now <1>3 roses in the vase. How many roses did she cut?,( ( <3> + <2> ) - <1> ),"['<1>', '<2>', '<3>']","['2', '4', '23']",There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase. How many roses did she cut?
334,chal-335,Addition,"Rachel had to complete <1> pages of math homework, <2> pages of reading homework and <3> more pages of biology homework. How many pages of reading and biology homework did she have to complete?",( <2> + <3> ),"['<1>', '<2>', '<3>']","['5', '10', '6']","Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework. How many pages of reading and biology homework did she have to complete?"
335,chal-336,Subtraction,Jerry had <1> action figures and <2> books on a shelf in his room. Later he added <3> more books to the shelf. How many more action figures than books were on his shelf?,( <1> - ( <2> + <3> ) ),"['<1>', '<2>', '<3>']","['7', '2', '4']",Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?
336,chal-337,Subtraction,In a school there are <1> girls and <2> boys. How many more boys than girls does the school have?,( <2> - <1> ),"['<1>', '<2>']","['34', '841']",In a school there are 34 girls and 841 boys. How many more boys than girls does the school have?
337,chal-338,Subtraction,Bobby ate some pieces of candy. Then he ate <1> more. If he ate a total of <2> pieces of candy How many pieces of candy had he eaten at the start?,( <2> - <1> ),"['<1>', '<2>']","['25', '43']",Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy how many pieces of candy had he eaten at the start?
338,chal-339,Common-Division,He then went to see the oranges being harvested. He found out that they harvest <1> sacks per day. How many days will it take to harvest <2> sacks of oranges?,( <2> / <1> ),"['<1>', '<2>']","['8', '24']",He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?
339,chal-340,Subtraction,<1> campers went rowing in the morning <2> campers went rowing in the afternoon and <3> campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['53', '48', '49']",53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?
340,chal-341,Subtraction,"Jack received <1> emails in the afternoon, <2> emails in the morning and <3> emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",( <2> - <1> ),"['<1>', '<2>', '<3>']","['3', '5', '16']","Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?"
341,chal-342,Common-Division,Dan has $ <1>. For a total of $ <2> he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['3', '4', '2']",Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?
342,chal-343,Subtraction,Rachel had to complete <1> pages of math homework and <2> pages of reading homework. How many more pages of reading homework than math homework did she have?,( <2> - <1> ),"['<1>', '<2>']","['3', '4']",Rachel had to complete 3 pages of math homework and 4 pages of reading homework. How many more pages of reading homework than math homework did she have?
343,chal-344,Subtraction,A book has <1> chapters. The first chapter is <2> pages long. The second chapter is <3> pages long. How many more pages does the second chapter have than the first chapter?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['2', '37', '80']",A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long. How many more pages does the second chapter have than the first chapter?
344,chal-345,Subtraction,There are <1> different movies and <2> different books in the ' crazy silly school ' series. If you read <3> of the books and watched <4> of the movies How many more movies do you still have to watch?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['8', '21', '7', '4']",There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies how many more movies do you still have to watch?
345,chal-346,Addition,Haley grew some trees in her backyard. After a typhoon <1> died. If <2> trees were left How many trees did she grow?,( <1> + <2> ),"['<1>', '<2>']","['5', '12']",Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left how many trees did she grow?
346,chal-347,Subtraction,The Razorback shop makes $ <1> dollars off each t-shirt and $ <2> off each jersey. During the Arkansas and Texas tech game they sold <3> t-shirts and <4> jerseys. How much more does a t-shirt cost than a jersey?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['192', '34', '157', '19']",The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys. How much more does a t-shirt cost than a jersey?
347,chal-348,Addition,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked <1> chocolate chip cookies and <2> raisin cookies yesterday. And she baked <2> raisin cookies and <4> chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?,( <1> + <4> ),"['<1>', '<2>', '<3>', '<4>']","['527', '86', '86', '554']",Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 527 chocolate chip cookies and 86 raisin cookies yesterday. And she baked 86 raisin cookies and 554 chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?
348,chal-349,Addition,Marco and his dad went strawberry picking. Together they collected strawberries that weighed <1> pounds. On the way back Marco ' dad found <2> more pounds of strawberries. Marco's strawberries now weighed <3> pounds. How much did his dad's strawberries weigh now?,( ( <1> - <3> ) + <2> ),"['<1>', '<2>', '<3>']","['22', '30', '36']",Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?
349,chal-350,Addition,"<1> red peaches, and some more green peaches are in the basket. If there are <2> more green peaches than red peaches in the basket How many green peaches are in the basket?",( <1> + <2> ),"['<1>', '<2>']","['3', '10']","3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket how many green peaches are in the basket?"
350,chal-351,Subtraction,"After a typhoon, <1> trees in Haley's backyard died. If she had grown <2> trees initially How many more trees died in the typhoon than those that survived?",( <1> - ( <2> - <1> ) ),"['<1>', '<2>']","['13', '3']","After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially how many more trees died in the typhoon than those that survived?"
351,chal-352,Subtraction,Josh had <1> marbles in his collection. He lost some marbles. If he has <2> marbles now How many marbles did he lose?,( <1> - <2> ),"['<1>', '<2>']","['9', '4']",Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now how many marbles did he lose?
352,chal-353,Subtraction,They decided to hold the party in their backyard. They have <1> chairs for each set of table. If they have <2> sets of tables How many more chairs than tables do they have?,( ( <2> * <1> ) - <2> ),"['<1>', '<2>']","['14', '9']",They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables how many more chairs than tables do they have?
353,chal-354,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks per day. How many oranges do they harvest per day if each sack contains <2> oranges?,( <1> * <2> ),"['<1>', '<2>']","['66', '28']",He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges?
354,chal-355,Addition,At the arcade Dave had won some tickets. He used <1> tickets to buy some toys. If he still has <2> tickets left How many tickets did Dave win at the arcade?,( <1> + <2> ),"['<1>', '<2>']","['12', '14']",At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left how many tickets did Dave win at the arcade?
355,chal-356,Multiplication,Adam could fit <1> action figures on each shelf in his room. His room has could hold <2> action figures. How many total shelves did his room have?,( <2> * <1> ),"['<1>', '<2>']","['10', '8']",Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have?
356,chal-357,Subtraction,Marco and his dad went strawberry picking. Together they collected strawberries that weighed <1> pounds. On the way back Marco lost <2> pounds of strawberries. Marco's strawberries now weighed <3> pounds. How much did his dad's strawberries weigh?,( <1> - ( <3> + <2> ) ),"['<1>', '<2>', '<3>']","['24', '9', '3']",Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds. How much did his dad's strawberries weigh?
357,chal-358,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <2> cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['12', '13', '2']",Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?
358,chal-359,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There are <1> bird families living near the mountain. If <2> bird families flew away to africa and <3> bird families flew away to asia How many more bird families flew away to asia than those that flew away to africa?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['38', '47', '94']",Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia how many more bird families flew away to asia than those that flew away to africa?
